,1,2,3,4,5,6
28.02.2016,21010,11001,21002,11001,11001,11001
27.02.2016,21010,11001,21002,11001,11001,21002
26.02.2016,21010,21002,21002,11001,11001,21002
25.02.2016,21002,21002,21002,21002,21002,21002
24.02.2016,21002,21002,21002,11001,11001,21002
23.02.2016,22001,22001,22001,22001,22001,22001
22.02.2016,32010,32010,32010,32010,32010,32010
21.02.2016,33001,33001,33001,33001,33001,33001
20.02.2016,21002,21002,21002,11001,11001,21002
19.02.2016,21002,11001,21002,11001,11001,21002
18.02.2016,21010,21010,21010,11113,11113,21010
17.02.2016,21002,11001,21002,11001,11001,21002
16.02.2016,21002,21002,21002,11001,11001,21002
15.02.2016,21002,21002,21002,11001,11001,21002
14.02.2016,21002,21002,21002,21002,21002,21002
13.02.2016,21002,21002,21002,21002,21002,21002
12.02.2016,21002,21002,21002,21002,21002,21002
11.02.2016,32002,32002,32002,32002,32002,32002
10.02.2016,32002,32002,32002,32002,32002,32002
09.02.2016,21010,11015,21010,11015,11015,21010
08.02.2016,21010,21010,21010,21010,21010,21010
07.02.2016,22001,22001,22001,22001,22001,22001
06.02.2016,32002,32002,32002,32002,32002,32002
05.02.2016,31002,31002,31002,31002,31002,31002
04.02.2016,32002,32002,32002,32002,32002,32002
03.02.2016,21002,21002,21002,11001,11001,21002
02.02.2016,22015,22015,22015,22015,22015,22015
01.02.2016,44001,33001,33001,33001,33001,33001
31.01.2016,23100,22001,22001,22001,22001,22104
30.01.2016,11015,11015,11015,11015,11015,11015
29.01.2016,13002,12002,12002,12002,12002,12002
28.01.2016,22001,22001,22001,22001,22001,22001
27.01.2016,22001,22001,22001,22001,22001,22001
26.01.2016,22015,22001,22001,22001,22001,22001
25.01.2016,22001,22001,22001,22001,22001,22001
24.01.2016,22001,22001,32002,22001,22001,32002
23.01.2016,32002,32002,31002,31002,31002,31002
22.01.2016,22001,22001,21002,21002,21002,21002
21.01.2016,22001,22001,32002,21002,21002,31002
20.01.2016,33001,32002,32002,22001,22001,32002
19.01.2016,22001,22001,32002,22001,22001,32002
18.01.2016,32002,32002,32002,32002,32002,32002
17.01.2016,32002,32002,32002,32002,32002,32002
17.01.2016,32002,32002,32002,32002,32002,32002
16.01.2016,31002,31002,31002,21002,21002,31002
15.01.2016,31002,31002,31002,21002,21002,31002
14.01.2016,31002,31002,31002,21002,21002,31002
13.01.2016,31002,31002,31002,21002,21002,31002
12.01.2016,32002,32002,32002,11001,11001,32002
11.01.2016,21002,21002,21002,11001,11001,21002
10.01.2016,21002,21002,21002,11001,11001,21002
09.01.2016,21002,21002,21002,11001,11001,21002
08.01.2016,32002,21002,31002,11001,11001,21002
03.05.2015,12002,12002,12002,12002,12002,12002
02.05.2015,12002,12002,12002,12002,12002,12002
01.05.2015,12002,12002,12002,12002,12002,12002
30.04.2015,11015,11015,11015,11015,11015,11015
29.04.2015,11113,11113,11113,11113,11113,11113
28.04.2015,12100,12100,12100,12100,12100,12100
27.04.2015,12002,12002,12002,12002,12002,12002
26.04.2015,12002,12002,12002,12002,12002,12002
25.04.2015,11015,11015,11015,11015,11015,11015
24.04.2015,11015,11015,11015,11015,11015,11015
23.04.2015,11001,11001,11001,11001,11001,11001
22.04.2015,11015,11015,11015,11015,11015,11015
21.04.2015,11015,11015,11015,11015,11015,11015
20.04.2015,11104,11001,11104,11001,11001,11104
19.04.2015,11104,11001,11104,11001,11001,11104
18.04.2015,22001,22001,22001,22001,22001,22001
17.04.2015,22001,22001,22001,22001,22001,22001
16.04.2015,11104,11001,11104,11001,11001,11104
15.04.2015,11113,11113,11113,11113,11113,11113
14.04.2015,22001,11113,22001,11113,11113,22001
13.04.2015,22001,11113,22001,11113,11113,11113
12.04.2015,22113,22001,22113,22001,22001,22113
11.04.2015,22113,22001,22001,22001,22001,22113
10.04.2015,22001,22001,22001,22001,22001,22001
09.04.2015,33001,33001,33001,33001,33001,33001
08.04.2015,32010,32010,32010,22113,22113,32010
07.04.2015,32010,32010,32002,32002,32002,32002
06.04.2015,32002,32002,32002,22001,22001,32002
05.04.2015,22001,22001,22001,22001,22001,22001
04.04.2015,22001,22001,22001,22001,22001,22001
03.04.2015,33001,33001,33001,33001,33001,33001
02.04.2015,43002,43002,43002,33001,33001,33001
01.04.2015,33001,33001,33001,33001,33001,33001
31.03.2015,33001,33001,33001,33001,33001,33001
30.03.2015,34002,33015,33015,33001,33001,33001
29.03.2015,22113,22113,22113,22113,22113,22113
28.03.2015,22001,21010,31010,21010,21010,31010
27.03.2015,21002,21002,21002,21002,21002,21002
26.03.2015,22001,22001,22001,22001,22001,22001
25.03.2015,22001,22001,22001,22001,22001,22001
24.03.2015,22001,22001,22001,22001,22001,22001
23.03.2015,22001,22001,32002,22001,22001,32002
22.03.2015,12002,11001,11001,11001,11001,11001
21.03.2015,12002,11015,11015,11015,11015,11015
20.03.2015,11015,11015,11015,11015,11015,11015
19.03.2015,11015,11015,11015,11015,11015,11015
18.03.2015,11015,11015,11015,11015,11015,11015
17.03.2015,11001,11001,11001,11001,11001,11001
16.03.2015,11001,11001,11001,11001,11001,11001
15.03.2015,11001,11001,11001,11001,11001,11001
14.03.2015,11001,11001,11001,11001,11001,11001
13.03.2015,11001,11001,11001,11001,11001,11001
12.03.2015,11015,11001,11001,11001,11001,11001
11.03.2015,11001,11001,11001,11001,11001,11001
10.03.2015,21010,21010,21010,11113,11113,21010
09.03.2015,21010,21010,21010,11015,11015,21010
08.03.2015,21010,21010,21010,21010,21010,21010
07.03.2015,21010,21010,21010,21010,21010,21010
06.03.2015,33001,31010,31010,31010,31010,31010
05.03.2015,21002,21002,21002,21002,21002,21002
04.03.2015,32002,32002,32002,32002,32002,32002
03.03.2015,32002,32002,32002,32002,32002,32002
02.03.2015,22001,22001,22001,22001,22001,22001
01.03.2015,31010,21010,31010,21010,21010,21010
28.02.2015,31002,31002,31002,31002,21002,21002
27.02.2015,11001,11001,11001,11001,11001,11001
26.02.2015,21010,11001,21002,11001,11001,21002
25.02.2015,21002,11001,11001,11001,11001,11001
24.02.2015,22001,12002,12002,12002,12002,12002
23.02.2015,11015,11015,11015,11015,11015,11015
22.02.2015,11001,11001,11001,11001,11001,11001
21.02.2015,11001,11001,11001,11001,11001,11001
20.02.2015,11015,11015,11001,11001,11001,11001
19.02.2015,11015,11015,11015,11015,11015,11015
18.02.2015,11015,11015,11015,11015,11001,11015
17.02.2015,11015,11015,11015,11015,11015,11015
16.02.2015,21010,11015,21002,11001,11001,21002
15.02.2015,21010,21010,21002,11001,11001,21002
14.02.2015,21010,21010,21010,11015,11015,21010
13.02.2015,21010,21010,21010,11015,11015,21010
12.02.2015,21010,21010,21010,21010,21010,21010
11.02.2015,22015,21010,21010,21010,21010,21010
10.02.2015,32002,22001,32002,22001,22001,32002
09.02.2015,32002,22001,32002,22001,22001,32002
08.02.2015,22104,22104,22104,22104,22104,22104
07.02.2015,22001,22001,22001,22001,22001,22001
06.02.2015,32002,32002,32002,32002,32002,32002
06.02.2015,32002,32002,32002,32002,32002,32002
05.02.2015,32002,32002,32002,32002,32002,32002
04.02.2015,32002,32002,32002,32002,32002,32002
03.02.2015,43002,32002,32002,32002,32002,32002
02.02.2015,32002,32002,32002,32002,32002,32002
01.02.2015,32002,32002,32002,32002,32002,32002
31.01.2015,32002,32002,32002,32002,32002,32002
30.01.2015,32002,32002,32002,32002,32002,32002
29.01.2015,33001,33001,32002,32002,32002,32002
28.01.2015,43002,43002,43002,33001,32002,32002
27.01.2015,32002,32002,32002,32002,32002,32002
26.01.2015,21010,21010,21010,21010,21010,21010
25.01.2015,11104,11104,11104,11104,11104,11104
24.01.2015,11001,11001,11001,11001,11001,11001
23.01.2015,11001,11001,11001,11001,11001,11001
22.01.2015,11001,11001,11001,11001,11001,11001
21.01.2015,21002,11001,21002,11001,11001,21002
20.01.2015,21002,21002,21002,11001,11001,21002
19.01.2015,21002,21002,21002,11001,11001,21002
18.01.2015,21010,11113,21010,11113,11001,21002
17.01.2015,21010,11113,21010,11113,11113,21010
16.01.2015,21002,11001,21002,11001,11001,21002
15.01.2015,21002,21002,21002,21002,21002,21002
14.01.2015,21002,21002,21002,21002,21002,21002
13.01.2015,21002,21002,21002,21002,21002,21002
12.01.2015,21002,21002,21002,21002,21002,21002
11.01.2015,22001,22001,22001,22001,22001,22001
10.01.2015,22001,22001,22001,22001,22001,22001
09.01.2015,21010,21010,21010,21010,21010,21010
08.01.2015,21002,21002,21002,21002,21002,21002
07.01.2015,21002,21002,21002,21002,21002,21002
06.01.2015,21010,21010,21010,21010,21010,31010
05.01.2015,31002,31002,31002,31002,32002,32002
04.01.2015,32002,32002,32002,32002,32002,32002
03.01.2015,32010,32010,32010,32010,32010,32010
02.01.2015,32002,32002,32002,32002,32002,32002
01.01.2015,33001,32010,32010,32010,32010,32010
31.12.2014,44001,33001,33001,33001,33001,33001
30.12.2014,32002,32002,32002,32002,32002,32002
29.12.2014,31002,21002,31002,21002,21002,31002
28.12.2014,21002,11001,21002,11001,11001,11001
27.12.2014,31002,11001,31002,11001,11001,11001
26.04.2014,22001,22001,22001,22001,22001,22001
25.04.2014,11113,11113,11113,11113,11113,11113
24.04.2014,11113,11113,11113,11113,11113,11113
23.04.2014,11113,11113,11113,11113,11113,11113
22.04.2014,11113,11113,11113,11113,11113,11113
21.04.2014,11113,11113,11113,11113,11113,11113
20.04.2014,22001,22001,22001,22001,22001,22001
19.04.2014,22001,22001,22001,22001,22001,22001
18.04.2014,21002,11001,21002,11001,11001,21002
17.04.2014,22001,22001,22001,22001,22001,22001
16.04.2014,22001,22001,32002,22001,22001,32002
15.04.2014,31002,31002,31002,31002,31002,31002
14.04.2014,21002,11001,21002,11001,11001,21002
13.04.2014,22001,22001,22001,22001,22001,22001
12.04.2014,12002,12002,22001,12002,12002,22001
11.04.2014,11015,11015,11015,11015,11015,11015
10.04.2014,12002,11015,11015,11015,11015,11015
09.04.2014,12002,12002,12002,12002,12002,12002
08.04.2014,12010,12002,12002,12002,12002,12010
07.04.2014,12002,12002,12002,12002,12002,12002
06.04.2014,12002,12002,12002,12002,12002,12002
05.04.2014,12002,12002,12002,12002,12002,12002
04.04.2014,13002,12002,12002,12002,12002,12002
03.04.2014,30002,20002,20002,20002,20002,20002
02.04.2014,11015,11015,11015,11015,11015,11015
01.04.2014,11015,11015,11015,11015,11015,11015
31.03.2014,11015,11015,11015,11015,11015,11015
30.03.2014,11015,11015,11015,11015,11015,11015
29.03.2014,11015,11015,11015,11015,11015,21010
28.03.2014,11015,11015,11015,11015,11015,21010
27.03.2014,12002,11015,11015,11015,11015,21010
26.03.2014,22015,22001,22001,22001,22001,22001
25.03.2014,43002,32002,32002,32002,32002,32002
25.03.2014,43002,32002,32002,32002,32002,32002
24.03.2014,43002,43002,43002,33001,33001,33001
23.03.2014,21002,21002,21002,21002,21002,21002
22.03.2014,11015,11015,11015,11015,11015,11015
21.03.2014,11015,11015,11015,11015,11015,11015
20.03.2014,11015,11015,11015,11015,11015,11015
19.03.2014,11015,11015,11015,11015,11015,11015
18.03.2014,11015,11015,11015,11015,11015,11015
17.03.2014,11015,11015,11015,11015,11015,11015
16.03.2014,22001,22001,22001,22001,22001,22001
15.03.2014,22001,11001,11001,11001,11001,11001
14.03.2014,11015,11015,11015,11015,11015,11015
13.03.2014,11015,11015,11015,11015,11015,11015
12.03.2014,11015,11015,21010,11015,11015,11015
11.03.2014,11015,11015,11015,11015,11015,11015
10.03.2014,11015,11015,11015,11015,11015,11015
09.03.2014,11015,11015,11015,11015,11015,11015
08.03.2014,11015,11015,11015,11015,11015,11015
07.03.2014,11001,11001,21002,11001,11001,11001
06.03.2014,11001,11001,21002,11001,11001,21002
05.03.2014,11001,11001,11001,11001,11001,11001
04.03.2014,11001,11001,11001,11001,11001,11001
03.03.2014,11001,11001,11001,11001,11001,11001
02.03.2014,11001,11001,11001,11001,11001,11001
01.03.2014,11001,11001,11001,11001,11001,11001
28.02.2014,11001,11001,11001,11001,11001,11001
27.02.2014,11001,11001,11001,11001,11001,11001
26.02.2014,11113,11113,11113,11113,11113,11113
25.02.2014,21010,21010,21010,21010,21010,21010
24.02.2014,21010,21010,21010,21010,21010,21010
23.02.2014,21002,21002,21002,21002,21002,21002
22.02.2014,21010,21010,21002,21002,21002,21002
21.02.2014,22001,22001,21002,21002,21002,21002
20.02.2014,21002,21002,21002,21002,21002,21002
19.02.2014,21002,21002,21002,21002,21002,21002
18.02.2014,21002,21002,21002,21002,21002,21002
17.02.2014,21002,21002,21002,21002,21002,21002
16.02.2014,21002,21002,21002,21002,21002,21002
15.02.2014,22001,22001,22001,22001,22001,22001
14.02.2014,31002,21002,21002,21002,21002,21002
13.02.2014,21002,21002,21002,21002,21002,21002
12.02.2014,21002,21002,21002,21002,21002,31002
