iter	Passed	Remaining
540	9256	7853
541	9268	7831
542	9282	7812
543	9302	7797
544	9314	7776
545	9325	7754
546	9340	7735
547	9356	7717
548	9372	7699
549	9392	7685
550	9407	7665
551	9423	7648
552	9437	7628
553	9458	7614
554	9482	7603
555	9500	7586
556	9511	7565
557	9524	7544
558	9546	7531
559	9561	7512
560	9579	7496
561	9597	7480
562	9615	7463
563	9631	7445
564	9648	7428
565	9660	7407
566	9673	7387
567	9688	7368
568	9702	7349
569	9716	7329
570	9731	7311
571	9749	7295
572	9766	7278
573	9781	7259
574	9797	7241
575	9808	7220
576	9821	7200
577	9849	7191
578	9862	7171
579	9876	7152
580	9892	7134
581	9904	7113
582	9917	7093
583	9934	7076
584	9952	7060
585	9967	7041
586	9982	7023
587	10000	7007
588	10013	6987
589	10032	6971
590	10053	6957
591	10069	6939
592	10092	6927
593	10103	6905
594	10117	6886
595	10132	6868
596	10147	6849
597	10160	6830
598	10175	6812
599	10195	6797
600	10214	6781
601	10231	6764
602	10248	6747
603	10262	6728
604	10277	6710
605	10293	6692
606	10309	6675
607	10326	6657
608	10343	6640
609	10356	6621
610	10369	6601
611	10384	6583
612	10400	6566
613	10420	6550
614	10444	6538
615	10458	6519
616	10474	6502
617	10495	6487
618	10510	6469
619	10525	6451
620	10542	6434
621	10557	6415
622	10573	6398
623	10590	6381
624	10604	6362
625	10617	6343
626	10631	6324
627	10647	6306
628	10671	6294
629	10688	6277
630	10703	6259
631	10720	6242
632	10734	6223
633	10747	6204
634	10760	6185
635	10774	6166
636	10802	6155
637	10821	6140
638	10837	6122
639	10850	6103
640	10871	6088
641	10887	6071
642	10903	6053
643	10919	6036
644	10933	6017
645	10947	5998
646	10957	5978
647	10972	5960
648	10987	5942
649	11000	5923
650	11016	5905
651	11035	5890
652	11048	5871
653	11062	5852
654	11074	5833
655	11089	5815
656	11102	5796
657	11119	5779
658	11138	5763
659	11152	5745
660	11167	5727
661	11182	5709
662	11199	5692
663	11219	5677
664	11239	5661
665	11269	5651
666	11287	5635
667	11301	5617
668	11318	5599
669	11334	5582
670	11349	5564
671	11366	5547
672	11384	5531
673	11400	5513
674	11421	5499
675	11439	5482
676	11452	5464
677	11467	5446
678	11483	5428
679	11495	5409
680	11515	5394
681	11532	5377
682	11545	5358
683	11560	5340
684	11575	5322
685	11586	5303
686	11598	5284
687	11615	5267
688	11637	5252
689	11669	5242
690	11681	5223
691	11697	5206
692	11712	5188
693	11736	5174
694	11754	5158
695	11770	5141
696	11787	5124
697	11803	5106
698	11822	5090
699	11837	5073
700	11853	5055
701	11869	5038
702	11883	5020
703	11898	5002
704	11912	4984
705	11926	4966
706	11941	4948
707	11955	4930
708	11972	4913
709	11985	4895
710	11998	4877
711	12015	4860
712	12028	4841
713	12045	4824
714	12064	4808
715	12076	4789
716	12094	4773
717	12108	4755
718	12123	4737
719	12136	4719
720	12154	4703
721	12172	4686
722	12186	4668
723	12203	4652
724	12224	4636
725	12241	4620
726	12259	4603
727	12272	4585
728	12285	4566
729	12299	4548
730	12314	4531
731	12331	4514
732	12345	4496
733	12364	4480
734	12377	4462
735	12393	4445
736	12410	4428
737	12426	4411
738	12439	4393
739	12459	4377
740	12483	4363
741	12500	4346
742	12516	4329
743	12529	4311
744	12543	4293
745	12559	4276
746	12571	4257
747	12584	4239
748	12608	4225
