iter	Accuracy	MultiClass
292	0.9683544304	0.2630738175
293	0.9683544304	0.2623210827
294	0.9683544304	0.2620899717
295	0.9683544304	0.2613134003
296	0.9699367089	0.2607665007
297	0.9699367089	0.2599173068
298	0.9699367089	0.2587680795
299	0.9715189873	0.2578045288
300	0.9715189873	0.2573004179
301	0.9715189873	0.2567347295
302	0.9715189873	0.2559378493
303	0.9715189873	0.2554069201
304	0.9715189873	0.2549956031
305	0.9731012658	0.2540489071
306	0.9731012658	0.2534794932
307	0.9715189873	0.252830173
308	0.9715189873	0.2517994455
309	0.9715189873	0.2507628113
310	0.9715189873	0.250118117
311	0.9715189873	0.2495182592
312	0.9715189873	0.248603506
313	0.9715189873	0.2481378653
314	0.9715189873	0.247460987
315	0.9715189873	0.2467689036
316	0.9731012658	0.2459988726
317	0.9731012658	0.2452487759
318	0.9762658228	0.2447633392
319	0.9762658228	0.2443594024
320	0.9762658228	0.2434957063
321	0.9746835443	0.2428784072
322	0.9762658228	0.2421306733
323	0.9778481013	0.2413180277
324	0.9778481013	0.2410346159
325	0.9778481013	0.2408451635
326	0.9794303797	0.2397130928
327	0.9810126582	0.2392155523
328	0.9825949367	0.2381449153
329	0.9825949367	0.2372688008
330	0.9825949367	0.2370104702
331	0.9825949367	0.2361339471
332	0.9825949367	0.2355022931
333	0.9825949367	0.234610546
334	0.9841772152	0.2336828228
335	0.9857594937	0.2330841586
336	0.9857594937	0.2322307148
337	0.9857594937	0.2311006195
338	0.9857594937	0.2307291019
339	0.9841772152	0.2300572052
340	0.9857594937	0.2296096783
341	0.9857594937	0.2290142756
342	0.9873417722	0.2278622906
343	0.9873417722	0.2274131235
344	0.9889240506	0.227193363
345	0.9873417722	0.2263072905
346	0.9889240506	0.2257277689
347	0.9889240506	0.2250290438
348	0.9905063291	0.2243478259
349	0.9905063291	0.2240290268
350	0.9889240506	0.2236166296
351	0.9889240506	0.222905932
352	0.9889240506	0.222317497
353	0.9889240506	0.2211521849
354	0.9889240506	0.2208428443
355	0.9889240506	0.2207099917
356	0.9889240506	0.2199796027
357	0.9889240506	0.2195127474
358	0.9889240506	0.2187006338
359	0.9889240506	0.2181358348
360	0.9889240506	0.2180010745
361	0.9889240506	0.2172977943
362	0.9889240506	0.2167090024
363	0.9889240506	0.2162465738
364	0.9889240506	0.2157927932
365	0.9889240506	0.2154093526
366	0.9889240506	0.2149625018
367	0.9889240506	0.2141770504
368	0.9889240506	0.2135028192
369	0.9889240506	0.2131990328
370	0.9889240506	0.2125890397
371	0.9889240506	0.2122376234
372	0.9889240506	0.2117151979
373	0.9889240506	0.2110977912
374	0.9889240506	0.2107257189
375	0.9889240506	0.2103110681
376	0.9889240506	0.2100400152
377	0.9889240506	0.2095722134
378	0.9905063291	0.2088422597
379	0.9905063291	0.2081315226
380	0.9905063291	0.2075327508
381	0.9905063291	0.2070497018
382	0.9905063291	0.206269393
383	0.9920886076	0.205398321
384	0.9920886076	0.2048815664
385	0.9920886076	0.2041272004
386	0.9920886076	0.2037245887
387	0.9920886076	0.203405749
388	0.9920886076	0.2029354639
389	0.9920886076	0.2025389949
390	0.9920886076	0.2021630093
391	0.9920886076	0.2016143156
392	0.9920886076	0.2012138061
393	0.9920886076	0.200581374
394	0.9920886076	0.1998810908
395	0.9920886076	0.19912738
396	0.9920886076	0.1986114013
397	0.9920886076	0.1982377968
398	0.9920886076	0.1974692599
399	0.9920886076	0.1972122919
400	0.9920886076	0.196613451
401	0.9920886076	0.1962578567
402	0.9920886076	0.1957017227
403	0.9920886076	0.1952653039
404	0.9920886076	0.1947516638
405	0.9920886076	0.1945322737
406	0.9920886076	0.1942531419
407	0.9920886076	0.1936718547
408	0.9920886076	0.193456698
409	0.9920886076	0.1933145409
410	0.9920886076	0.1930592835
411	0.9920886076	0.1929395866
412	0.9920886076	0.1922411727
413	0.9920886076	0.1916632879
414	0.9920886076	0.1910631756
415	0.9920886076	0.190541157
416	0.9920886076	0.1900966725
417	0.9920886076	0.1897266307
418	0.9920886076	0.1892631482
419	0.9920886076	0.1888499082
420	0.9920886076	0.1885799764
421	0.9920886076	0.1881762984
422	0.9920886076	0.1878467901
423	0.9920886076	0.1871568619
424	0.9920886076	0.1868573126
425	0.9920886076	0.186373333
426	0.9920886076	0.185625286
427	0.9920886076	0.1850576934
428	0.9920886076	0.1849137605
429	0.9920886076	0.1843859547
430	0.9920886076	0.184097415
431	0.9920886076	0.1837900213
432	0.9920886076	0.1835907033
433	0.9920886076	0.1829959278
434	0.9920886076	0.182684245
435	0.9920886076	0.1822967269
436	0.9920886076	0.1817542574
437	0.9920886076	0.181040715
438	0.9920886076	0.1808053733
439	0.9920886076	0.1804583871
440	0.9920886076	0.1799752594
441	0.9920886076	0.1793917247
442	0.9920886076	0.1789302726
443	0.9920886076	0.1784875282
444	0.9920886076	0.178269372
445	0.9920886076	0.178086289
446	0.9920886076	0.1776439389
447	0.9920886076	0.1772610165
448	0.9920886076	0.1769250621
449	0.9920886076	0.1763246046
450	0.9920886076	0.1760555886
451	0.9920886076	0.1757914023
452	0.9920886076	0.1756095524
453	0.9920886076	0.1752835476
454	0.9920886076	0.174677764
455	0.9920886076	0.1742424738
456	0.9920886076	0.1738194786
457	0.9936708861	0.1733162457
458	0.9920886076	0.1731430305
